basin,r_m,Linhom_obs,Lhom_obs,env_lo,env_hi,env_mean,env_p025,env_p975
CRR,2428.4317758238503,2500.9177576855136,2491.636612272182,2188.5528086853733,6880.993443656996,2326.983956250444,2236.1848728774453,2410.531670104188
CRR,2833.1704051278252,2878.5228987962428,2866.36433990252,2539.069591469574,8052.337013442203,2695.416089326667,2589.305491144357,2791.191316041887
CRR,3237.9090344318006,3256.7904293641973,3237.0031286197436,2882.7236869914013,9152.482961415664,3060.2755780537473,2943.582402801033,3166.3225518216295
CRR,3642.6476637357755,3608.876355484137,3587.5161506935337,3220.683417245257,10356.588616214887,3421.1980453429646,3291.061241119066,3537.6343680592086
CRR,4047.3862930397504,3973.7290636771186,3944.619237583529,3554.5002870285803,11167.721549818236,3777.5375811797926,3629.1556881895713,3908.6954850460443
CRR,4452.124922343726,4319.082581387786,4291.0192807295,3875.9992543165517,12124.689900057705,4127.787527061396,3968.3833601954457,4271.126460742415
CRR,4856.863551647702,4660.229078242667,4631.536659434913,4191.2773311156025,13096.74885169999,4473.9012404463465,4299.851333275437,4625.365589494507
CRR,5261.602180951676,4999.922126305896,4971.4759903347,4510.919075212205,14571.743127077938,4816.463503330036,4630.068332455942,4981.7026713208525
CRR,5666.340810255651,5329.2243719152775,5307.088123431709,4814.919163167028,16229.595209822679,5153.891924331378,4952.250679277323,5329.21208244172
CRR,6071.079439559627,5659.019908059047,5631.898489425477,5114.063745492489,17076.043855822103,5486.063318076061,5273.83552745406,5682.903851177487
CRR,6475.818068863601,5991.0822462969345,5955.198954385529,5408.792563043026,18266.70326188677,5813.066153009957,5585.405248849777,6021.1000505437205
CRR,6880.5566981675765,6316.264768730727,6272.914641477341,5697.958609157911,19051.979661239264,6134.8930048554175,5895.834061887962,6352.786420811282
CRR,7285.295327471552,6617.721727511717,6583.712802404147,5991.1348028760685,20171.736922702752,6452.609652046739,6198.720090290429,6682.05318827807
CRR,7690.033956775526,6941.6101607408655,6893.233407701065,6274.848265715374,21122.142506708664,6765.851297976284,6498.60371635674,7006.723622226252
CRR,8094.772586079502,7245.854230350927,7195.179993887258,6556.972903480101,22134.243138691294,7075.612533280509,6794.379158310511,7329.431797843219
CRR,8499.511215383476,7543.4325892204915,7492.757877116998,6836.984287536892,22998.76264869251,7380.457923226871,7083.501870363409,7652.834939598062
CRR,8904.24984468745,7853.4210651599105,7793.259531668218,7109.4952501586895,24062.709218041775,7680.418901522636,7371.2412884525875,7965.555494778496
CRR,9308.988473991427,8160.068808561209,8078.495557528074,7383.306968014356,24968.213278672745,7975.991965841875,7655.125850618664,8270.912462268747
CRR,9713.727103295401,8455.476598032954,8363.909358816763,7652.699896233706,26130.131985559594,8267.90947893952,7934.798215656686,8575.087053027335
CRR,10118.465732599376,8783.022028096479,8641.346442445089,7921.19144962426,26981.662299133925,8554.53819712236,8206.97660885355,8874.060147124956
