ring,estimator,basin,size_class,q,n,cons_med,S_med,a_m_med,R_delta,iso_p95,medE
scaled,feret,ALL,all,Q4,802,0.97,0.219,60.1,0.1844,0.0612,1.273
scaled,feret,ALL,<1 ha,Q1,532,0.394,0.464,96.0,0.0694,0.0744,1.415
scaled,feret,ALL,<1 ha,Q2,531,0.737,0.389,87.4,0.1098,0.0747,1.354
scaled,feret,ALL,<1 ha,Q3,531,0.909,0.299,71.6,0.1647,0.0747,1.324
scaled,feret,ALL,<1 ha,Q4,532,0.982,0.194,56.5,0.2061,0.0744,1.279
scaled,feret,ALL,1-2 ha,Q1,139,0.246,1.445,156.0,0.0566,0.1441,1.212
scaled,feret,ALL,1-2 ha,Q2,138,0.479,1.41,159.9,0.1828,0.1486,1.292
scaled,feret,ALL,1-2 ha,Q3,138,0.673,1.464,158.8,0.1081,0.1486,1.25
scaled,feret,ALL,1-2 ha,Q4,139,0.862,1.275,146.7,0.1067,0.1441,1.181
scaled,feret,ALL,>=2 ha,Q1,132,0.179,3.483,269.4,0.1262,0.1527,1.322
scaled,feret,ALL,>=2 ha,Q2,131,0.342,3.282,249.1,0.1259,0.151,1.325
scaled,feret,ALL,>=2 ha,Q3,131,0.5,3.059,240.0,0.1157,0.151,1.268
scaled,feret,ALL,>=2 ha,Q4,132,0.698,2.86,211.0,0.275,0.1527,1.184
scaled,feret,CMR,all,Q1,445,0.282,1.283,158.1,0.0381,0.0793,1.414
scaled,feret,CMR,all,Q2,445,0.566,0.82,131.4,0.1508,0.0793,1.357
scaled,feret,CMR,all,Q3,444,0.815,0.414,90.4,0.1371,0.0786,1.385
scaled,feret,CMR,all,Q4,445,0.971,0.204,60.0,0.2261,0.0793,1.329
scaled,feret,CMR,<1 ha,Q1,309,0.38,0.464,96.9,0.0937,0.0986,1.46
scaled,feret,CMR,<1 ha,Q2,309,0.717,0.384,88.6,0.1033,0.0986,1.429
scaled,feret,CMR,<1 ha,Q3,309,0.9,0.272,71.5,0.1838,0.0986,1.375
scaled,feret,CMR,<1 ha,Q4,309,0.981,0.178,56.4,0.2577,0.0986,1.333
scaled,feret,CMR,1-2 ha,Q1,73,0.229,1.405,156.5,0.1353,0.204,1.324
