variable,group,n,mean,std,min,q25,median,q75,max
theta_mbr_geo,CRR,1431,62.612263369641404,52.95908634502325,0.42496051301194726,10.655674770875585,60.92759960418675,99.33733225034723,179.0806753431145
theta_mom_grid,CRR,1431,78.70122443950297,55.245037942063206,0.11234888646336652,28.981523153036978,67.70662691092372,126.96943575277064,179.84275818479406
theta_feret_grid,CRR,1431,90.42609758248278,53.021332731923856,2.50984975584938,42.44292899654933,70.29278930438231,145.00557468712066,178.31381945705877
theta_mbr_grid,CRR,1431,63.132758470239615,52.960085939300725,0.9999014056789974,11.174078493759389,61.5025494038365,99.84336833327782,179.5220041959112
S_ha,ALL,3210,1.1654987502921745,1.7761478977647167,0.1029909195841333,0.2389060486053381,0.5542724383547556,1.399910597267727,29.122425934037565
P_m,ALL,3210,370.31070606511247,245.40561147208535,124.05909682763196,193.1736062610642,302.3861840230295,471.40143999320384,2643.65128768509
a_m,ALL,3210,126.23647971815173,86.1568260148912,37.36589440832789,64.18797007441579,104.19429954044568,159.8399222011136,700.04469013709
b_m,ALL,3210,90.47404218937359,60.1185323621209,20.004473212727635,46.11219946568237,70.02205994894109,119.82584772970665,588.0988221285222
feret_max_m,ALL,3210,136.6679698201764,89.63529217093912,43.06930734100794,73.24686577078118,112.24915863735487,171.65141219762572,738.8965591294286
Dm_m,ALL,3210,103.27319539346837,64.61840980917819,36.212168060357506,55.15293542142671,84.00723699624172,133.5073605287364,608.9320515282267
IC,ALL,3210,1.134409599554855,0.10050820851705182,1.0237309912471682,1.070493065351692,1.1019412952443686,1.15796292805595,1.5949313900588369
E,ALL,3210,1.450090148997882,0.4461957287637503,1.0000000075091815,1.1328267219689145,1.3052028624371697,1.64182181772815,3.9970533412774683
theta_mom_geo,ALL,3210,81.87760766077929,54.911900129150496,0.06525698479925746,31.94174312529915,75.48817439409109,130.84831352623036,179.99562082200381
theta_feret_geo,ALL,3210,91.68826743423028,52.22719992982724,1.9629314648325589,43.856244997669904,76.48304847713372,144.15662814964455,179.91415049613275
theta_mbr_geo,ALL,3210,64.61317762182853,53.43578158204862,0.42496051301194726,12.221020013973446,64.52397627148488,102.29282802102841,179.0806753431145
theta_mom_grid,ALL,3210,81.75795578920864,54.8079600172333,0.11234888646336652,32.007388380807974,75.16956536980446,130.84506602856055,179.84275818479406
theta_feret_grid,ALL,3210,92.24151275892132,52.236002776722394,0.6596652038544286,44.32756621565427,76.9609961142751,144.76653739145954,178.85097747859746
theta_mbr_grid,ALL,3210,65.22249771287468,53.440544637443516,0.9999014056789974,13.016556302692344,65.15093797912347,103.02036232550415,179.5220041959112
