cubeta_id,cuenca,S_ha,P_m,a_m,b_m,feret_max_m,Dm_m,IC,E,theta_mom_geo,theta_feret_geo,theta_mbr_geo,theta_mom_grid,theta_feret_grid,theta_mbr_grid
CMR_0331,CMR,1.9900444432528104,520.2542629526195,164.13683480758922,153.36655017204936,179.14281565016478,159.1792474203201,1.0403496555665974,1.0702257736348477,106.06718312961377,124.79349588592324,84.76139369873101,106.6883963526838,125.41470910899326,85.38260692180104
CMR_0332,CMR,2.140076072104183,538.4447651973105,181.6502733375708,142.80536569141978,183.26513192981588,165.07057532293712,1.0382970531901834,1.2720129419372717,4.980103919542956,22.815856217147047,5.871950589032684,5.594483538518655,23.430235836122744,6.486330208008383
CMR_0333,CMR,0.1287456425901819,151.64742653336032,66.04608632127464,27.895356291857862,66.05870395625921,40.487534298615806,1.1922404245187381,2.367637309603114,133.74614434725453,134.97961676895204,136.09948912332086,134.36929323997308,135.6027656616706,136.7226380160394
CMR_0334,CMR,0.5744105957804658,348.6148314221179,146.11282537366236,56.297981112608184,147.12051568306367,85.519722021448,1.2975667447109511,2.595347514885214,172.3028709383126,163.22603171008836,169.93588080730154,172.92646173164138,163.84962250341715,170.55947160063033
CMR_0335,CMR,0.8646655826270431,343.0100527646783,109.42874441469888,99.6673940875585,115.85532582905165,104.92504051808703,1.0405856439636034,1.0979392550242155,177.75182002947184,160.86974406658905,1.1062570948465498,178.36809176797107,161.48601580508827,1.7225288333457582
CMR_0336,CMR,0.31437982702532485,224.83046737784818,88.24948628185822,47.983196254402756,91.02733995038959,63.267750697779974,1.1311570222173635,1.839174818908834,15.295324871756057,13.88838625826893,32.06610611067919,15.915387368782879,14.508448755295753,32.686168607706016
CMR_0337,CMR,1.134742953316376,396.6307484965888,120.0180887723139,119.5981105068085,142.79030787913265,120.19981702448538,1.0503467603883518,1.0035115794365455,57.28389482583073,56.83892072226845,91.09393581855687,57.9123164937411,57.46734239017882,91.72235748646725
CMR_0338,CMR,1.699898449809072,486.7823749209389,149.7701497304454,140.01998761065425,168.9331454689651,147.11824932111284,1.0532183673499094,1.0696340735788585,147.94325535706412,152.07955272610755,1.1011832742654066,148.56424537406528,152.7005427431087,1.7221732912665573
CMR_0339,CMR,0.26430793987913276,196.32698175895436,60.00888102011948,59.337960528498364,76.14959243640172,58.010974913510616,1.0772585586032875,1.0113067669607365,40.957123031724194,42.09550692911115,1.0962344085486135,41.58303045984789,42.72141435723485,1.7221418366723071
CMR_0340,CMR,1.2699168665973517,421.25288569753934,152.00344158519093,108.83839811982399,152.16864614010177,127.15771203815821,1.0545090498383531,1.3965975630939096,58.37364822702482,58.69258066894842,61.36266762852889,58.9882122151201,59.3071446570437,61.97723161662417
CMR_0341,CMR,0.8996881142725813,353.96740443077044,119.34282226587081,99.34373537842805,125.28691508042405,107.02889726704926,1.0527187245142084,1.2013120083642985,17.00648267838533,18.817347500501562,1.097478201999993,17.63109113449066,19.441955956606893,1.7220866581053258
CMR_0342,CMR,2.1001049249744685,540.3715710125272,179.9388073023114,149.75040048664093,195.24733654946144,163.5217611992534,1.0518820981652872,1.2015914930281844,98.48924407687112,76.80658994363134,124.7909059046243,99.11035270028715,77.42769856704737,125.41201452804033
