window,n,area_km2,r_m,L_obs,env_lo,env_hi,env_mean,env_p025,env_p975,env_p005,env_p995
CRR,1431,925.9105137933359,4047.3862930397504,3938.2325605157366,3632.356254127069,3760.776113037749,3696.32224286357,3653.75634293962,3738.231968721137,3643.449533926327,3749.7318606716613
CRR,1431,925.9105137933359,4452.124922343726,4284.7187665379715,3969.9222190194687,4116.57619063708,4040.599495133626,3994.296160451527,4088.1384554992133,3980.6200489082953,4099.061146124519
CRR,1431,925.9105137933359,4856.863551647702,4624.77716108577,4303.769210055397,4464.190370111259,4380.479196456167,4330.101129209496,4431.553489461228,4316.858659221902,4444.7594752688
CRR,1431,925.9105137933359,5261.602180951676,4964.142071715526,4627.548008346178,4815.455471654438,4716.103841553149,4660.233939437797,4771.770710477806,4647.63435094144,4787.852930529276
CRR,1431,925.9105137933359,5666.340810255651,5299.2788012538,4953.628071075445,5158.080313028103,5046.818019564216,4987.688662514459,5106.424586475487,4970.229421560719,5121.4625186788535
CRR,1431,925.9105137933359,6071.079439559627,5623.494294203006,5275.1436217188675,5492.213397304721,5372.7208698342465,5307.9471123467465,5435.835200943428,5289.374641699811,5453.639567977418
CRR,1431,925.9105137933359,6475.818068863601,5945.776252891863,5592.032035574302,5824.908410845158,5694.028109419188,5626.518213739831,5761.754520904418,5602.468304014711,5781.90714321043
CRR,1431,925.9105137933359,6880.5566981675765,6262.997471559236,5904.9651207108955,6150.5236374642,6010.667752844083,5936.311908986831,6084.489130530674,5914.887496888707,6103.707683432037
CRR,1431,925.9105137933359,7285.295327471552,6573.327318126409,6199.22552852091,6461.663613498207,6322.552015613549,6242.4716760743,6401.357857984696,6222.605221885915,6423.616532213276
CRR,1431,925.9105137933359,7690.033956775526,6882.366986243531,6490.686153292569,6776.201958068519,6629.791742345837,6545.191698034921,6716.205031268978,6526.047091292052,6739.422726891714
CRR,1431,925.9105137933359,8094.772586079502,7183.970372825957,6777.009592539003,7090.721693980203,6932.578047359041,6841.720902553861,7023.185566459239,6827.42837653643,7048.165638084452
CRR,1431,925.9105137933359,8499.511215383476,7481.174436245247,7059.861522929809,7396.935126796275,7230.869078217875,7133.586574831112,7326.183223973489,7118.372760331843,7352.883067337419
CRR,1431,925.9105137933359,8904.24984468745,7781.483246652122,7336.974073365919,7697.592832214753,7524.677011058727,7421.539811454855,7623.534442783789,7405.894407982572,7649.390565241599
CRR,1431,925.9105137933359,9308.988473991427,8066.591098644707,7612.059068502175,7990.618530949382,7813.933636108061,7707.624551199901,7914.557253667173,7689.162629493887,7942.882809692467
CRR,1431,925.9105137933359,9713.727103295401,8351.58885216322,7882.058565940114,8282.145917205296,8098.623890551789,7990.384199436975,8204.672647112993,7964.688057093644,8231.028913474634
CRR,1431,925.9105137933359,10118.465732599376,8628.762707393513,8148.7508456031655,8571.638972145145,8379.07116801744,8265.624550775608,8489.509515644544,8238.013096630837,8518.207134687455
