cubeta_id,cuenca,dist_divide_m,slope_s50,slope_s100,slope_s200,slope_s500,slope_s1000,slope_s2000,tpi_R500,tpi_R1000,tpi_R2000,tpi_R5000,vd_ord4,vd_ord6
CMR_1694,CMR,5836.507321128648,0.0918850228190422,0.0495987832546234,0.0805345922708511,0.0692435875535011,0.0499297119677066,0.0415354520082473,0.0098058013245463,-0.3456625044345855,-0.8897794485092163,-0.774838924407959,1.5535287857055664,3.680281162261963
CMR_1695,CMR,5379.040428183577,0.151972234249115,0.1623842418193817,0.1472151428461074,0.103158138692379,0.0747245848178863,0.0478427484631538,-0.2142710834741592,-0.0022294141817837,-0.3646689355373382,-0.3715725541114807,0.9228999614715576,3.2206015586853027
CMR_1696,CMR,5445.112379036572,0.3045941293239593,0.308048278093338,0.2287962883710861,0.1199778690934181,0.0782100930809974,0.0489900968968868,-0.3755422234535217,-0.2489302307367324,-0.6501993536949158,-0.6823976635932922,1.2272093296051023,3.5476186275482178
CMR_1697,CMR,6075.596206244471,0.077461764216423,0.1153058484196662,0.0571168810129165,0.0707159712910652,0.0482900813221931,0.0413377992808818,-0.1673674285411834,-0.416229635477066,-0.9993409514427184,-1.0273520946502686,1.3649506568908691,4.018441200256348
CMR_1698,CMR,6189.866330936284,0.0183322485536336,0.01081174146384,0.0381619669497013,0.0801392421126365,0.0633410215377807,0.0431059636175632,-0.4142366051673889,-0.5175458192825317,-1.2194424867630005,-1.4318945407867432,1.1113286018371582,4.4957051277160645
CMR_1699,CMR,6383.309427417801,0.1099624782800674,0.0583279989659786,0.0589212588965892,0.0682848766446113,0.0490563362836837,0.0404495634138584,-0.0916251316666603,-0.3603898584842682,-1.019036889076233,-1.1856287717819214,0.9186387062072754,4.289109230041504
CMR_1700,CMR,6563.696949692321,0.1725856363773346,0.1644913405179977,0.1104211658239364,0.0621476545929908,0.0469390079379081,0.0394389480352401,-0.1921983212232589,-0.5238546133041382,-1.1999928951263428,-1.3993698358535769,0.9312057495117188,4.560303211212158
CMR_1701,CMR,6414.807616504132,0.1045290976762771,0.0401955135166645,0.0371996872127056,0.0870383977890014,0.0664897561073303,0.0435646623373031,0.2803880572319031,0.0820192769169807,-0.7943957448005676,-1.097720503807068,0.7345590591430664,4.243136882781982
CMR_1702,CMR,6779.5397860346,0.1254847794771194,0.1433285027742386,0.11939487606287,0.0593851953744888,0.047655876725912,0.0384668968617916,-0.5626289248466492,-0.9472557306289672,-1.6709057092666626,-1.9305332899093628,1.1320505142211914,5.171982765197754
CMR_1703,CMR,6850.392844893227,0.043771494179964,0.0692306980490684,0.1103462353348732,0.05282474309206,0.0462382771074771,0.0378754623234272,-0.5180326104164124,-0.9286156296730042,-1.619565486907959,-1.868546962738037,1.071760654449463,5.12975025177002
